City,Gender,Senior Citizen,Partner,Dependents,Tenure Months,Phone Service,Multiple Lines,Internet Service,Online Security,Device Protection,Tech Support,Streaming TV,Contract,Paperless Billing,Payment Method,Monthly Charges,Total Charges,Churn Label
Whittier,Female,No,Yes,Yes,10,Yes,Yes,Fiber optic,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,100.25,1064.65,Yes
La Habra,Male,No,No,Yes,3,Yes,Yes,Fiber optic,No,No,No,No,Month-to-month,Yes,Electronic check,74.4,229.55,Yes
Pico Rivera,Female,Yes,No,Yes,27,Yes,Yes,Fiber optic,No,Yes,No,No,Month-to-month,Yes,Electronic check,78.05,2135.5,Yes
Avalon,Female,No,Yes,No,25,No,No phone service,DSL,Yes,Yes,No,Yes,Month-to-month,Yes,Credit card (automatic),58.6,1502.65,Yes
Harbor City,Male,No,No,No,1,No,No phone service,DSL,No,No,No,No,Month-to-month,Yes,Electronic check,35.45,35.45,Yes
Lakewood,Male,No,No,No,2,Yes,No,DSL,No,No,No,No,Month-to-month,No,Electronic check,44.35,81.25,Yes
Los Alamitos,Female,Yes,Yes,Yes,1,Yes,No,Fiber optic,No,No,No,No,Month-to-month,Yes,Mailed check,70.45,70.45,Yes
San Pedro,Female,No,No,No,8,Yes,Yes,DSL,Yes,No,Yes,No,Month-to-month,No,Electronic check,71.15,563.65,Yes
Carson,Male,No,No,No,1,Yes,No,DSL,No,No,No,No,Month-to-month,Yes,Electronic check,45.65,45.65,Yes
Long Beach,Male,No,No,Yes,7,Yes,Yes,Fiber optic,No,No,No,Yes,Month-to-month,No,Mailed check,95.0,655.5,Yes
Altadena,Female,No,Yes,Yes,20,Yes,Yes,Fiber optic,Yes,No,No,No,Month-to-month,No,Electronic check,82.4,1592.35,Yes
Monrovia,Female,No,No,Yes,4,Yes,No,Fiber optic,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),70.9,273.0,Yes
Sierra Madre,Male,Yes,Yes,No,58,No,No phone service,DSL,No,Yes,No,No,Month-to-month,Yes,Electronic check,45.3,2651.2,Yes
Tujunga,Female,No,Yes,Yes,2,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,104.4,242.8,Yes
Pasadena,Female,No,Yes,No,53,Yes,No,Fiber optic,No,Yes,No,Yes,One year,Yes,Bank transfer (automatic),94.85,5000.2,Yes
Pasadena,Female,Yes,No,Yes,15,Yes,Yes,Fiber optic,No,No,No,No,Month-to-month,Yes,Mailed check,74.45,1145.7,Yes
Pasadena,Female,Yes,No,Yes,7,Yes,No,Fiber optic,Yes,No,No,No,Month-to-month,No,Bank transfer (automatic),76.45,503.6,Yes
Glendale,Female,No,No,No,1,No,No phone service,DSL,No,No,No,No,Month-to-month,No,Bank transfer (automatic),29.95,29.95,Yes
Glendale,Male,No,No,Yes,8,Yes,Yes,Fiber optic,No,No,No,No,Month-to-month,No,Bank transfer (automatic),84.5,662.65,Yes
Glendale,Female,No,No,Yes,13,Yes,No,Fiber optic,No,Yes,No,No,Month-to-month,Yes,Electronic check,79.25,1111.65,Yes
Glendale,Female,No,Yes,No,1,No,No phone service,DSL,No,No,No,No,Month-to-month,Yes,Electronic check,24.8,24.8,Yes
Canoga Park,Male,No,Yes,Yes,6,Yes,No,Fiber optic,No,Yes,No,No,Month-to-month,Yes,Electronic check,91.0,531.0,Yes
Mission Hills,Male,No,No,Yes,1,Yes,No,Fiber optic,No,No,No,No,Month-to-month,No,Electronic check,79.9,79.9,Yes
Santa Clarita,Female,No,No,Yes,19,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,106.6,1934.45,Yes
Sun Valley,Male,No,No,No,2,Yes,No,DSL,No,No,No,No,Month-to-month,Yes,Credit card (automatic),46.0,84.5,Yes
Stevenson Ranch,Female,No,No,Yes,4,Yes,No,Fiber optic,No,No,No,No,Month-to-month,Yes,Electronic check,70.15,268.35,Yes
Panorama City,Male,No,Yes,No,4,Yes,No,DSL,No,No,Yes,No,Month-to-month,No,Mailed check,50.05,179.35,Yes
Van Nuys,Female,No,Yes,No,1,Yes,No,DSL,No,No,No,Yes,Month-to-month,No,Mailed check,55.2,55.2,Yes
Burbank,Male,No,No,Yes,1,Yes,No,Fiber optic,Yes,No,No,No,Month-to-month,Yes,Mailed check,84.6,84.6,Yes
North Hollywood,Male,No,No,No,2,Yes,Yes,DSL,No,No,No,No,Month-to-month,Yes,Mailed check,54.4,114.1,Yes
North Hollywood,Female,Yes,No,Yes,11,Yes,No,Fiber optic,No,No,No,Yes,Month-to-month,Yes,Electronic check,95.0,1120.3,Yes
Covina,Male,Yes,No,No,15,Yes,No,Fiber optic,No,No,No,No,Month-to-month,Yes,Electronic check,74.4,1074.3,Yes
Covina,Male,No,No,No,1,Yes,No,DSL,Yes,No,No,No,Month-to-month,Yes,Mailed check,48.55,48.55,Yes
El Monte,Female,No,Yes,No,2,Yes,No,Fiber optic,No,No,No,No,Month-to-month,No,Electronic check,70.4,147.15,Yes
El Monte,Male,Yes,Yes,No,1,No,No phone service,DSL,No,No,No,Yes,Month-to-month,No,Electronic check,40.2,40.2,Yes
La Puente,Female,No,Yes,No,2,Yes,No,DSL,No,No,No,No,Month-to-month,Yes,Credit card (automatic),44.6,80.55,Yes
La Puente,Male,Yes,No,No,3,No,No phone service,DSL,No,Yes,No,No,Month-to-month,Yes,Electronic check,41.15,132.2,Yes
Rowland Heights,Male,Yes,No,No,13,Yes,Yes,Fiber optic,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,106.9,1364.3,Yes
Ontario,Male,No,No,No,59,Yes,No,No,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,19.35,1099.6,Yes
Ontario,Female,Yes,No,No,16,Yes,No,Fiber optic,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,94.45,1511.2,Yes
Pomona,Male,No,No,No,1,No,No phone service,DSL,No,No,No,No,Month-to-month,No,Bank transfer (automatic),24.8,24.8,Yes
Pomona,Male,No,No,No,1,Yes,No,Fiber optic,No,No,No,No,Month-to-month,No,Mailed check,70.6,70.6,Yes
Rosemead,Male,No,Yes,No,5,Yes,Yes,Fiber optic,No,No,Yes,No,Month-to-month,Yes,Electronic check,85.4,401.1,Yes
San Dimas,Female,No,Yes,No,52,Yes,Yes,Fiber optic,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,105.05,5624.85,Yes
West Covina,Male,No,Yes,No,18,Yes,No,Fiber optic,No,Yes,No,Yes,Month-to-month,No,Mailed check,95.15,1779.95,Yes
Alhambra,Male,No,Yes,No,1,Yes,No,Fiber optic,No,No,No,No,Month-to-month,No,Electronic check,70.0,70.0,Yes
Alpine,Male,Yes,No,No,8,Yes,No,Fiber optic,No,No,No,No,Month-to-month,Yes,Electronic check,74.5,606.55,Yes
Bonita,Male,No,No,No,10,Yes,No,DSL,No,No,No,No,Month-to-month,Yes,Credit card (automatic),44.85,435.4,Yes
Boulevard,Male,Yes,No,No,24,Yes,Yes,Fiber optic,No,No,No,No,Month-to-month,Yes,Electronic check,76.1,1712.7,Yes
Guatay,Female,No,No,No,1,Yes,No,Fiber optic,Yes,No,No,No,Month-to-month,Yes,Mailed check,73.6,73.6,Yes
Jacumba,Female,Yes,No,No,4,Yes,Yes,Fiber optic,No,No,No,Yes,Month-to-month,Yes,Electronic check,95.45,396.1,Yes
Mount Laguna,Male,Yes,Yes,No,32,Yes,Yes,Fiber optic,No,No,No,No,Month-to-month,Yes,Electronic check,74.9,2303.35,Yes
Borrego Springs,Male,No,No,No,5,Yes,No,Fiber optic,No,No,No,Yes,Month-to-month,Yes,Electronic check,80.6,415.55,Yes
Carlsbad,Female,No,Yes,No,38,Yes,No,DSL,Yes,No,Yes,Yes,One year,No,Credit card (automatic),80.3,3058.65,Yes
Del Mar,Male,Yes,Yes,No,24,Yes,No,Fiber optic,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,93.15,2231.05,Yes
El Cajon,Female,Yes,No,No,54,Yes,Yes,DSL,Yes,No,Yes,Yes,One year,No,Bank transfer (automatic),82.45,4350.1,Yes
Escondido,Female,Yes,No,No,2,Yes,No,Fiber optic,No,No,No,No,Month-to-month,Yes,Electronic check,70.35,139.05,Yes
Oceanside,Female,No,No,No,7,Yes,Yes,Fiber optic,No,No,No,No,Month-to-month,Yes,Electronic check,73.85,511.25,Yes
Pala,Female,No,No,No,2,Yes,Yes,Fiber optic,No,Yes,No,No,Month-to-month,No,Mailed check,80.6,155.8,Yes
Palomar Mountain,Male,No,Yes,No,68,Yes,Yes,DSL,No,Yes,Yes,No,One year,Yes,Bank transfer (automatic),75.8,5293.95,Yes
Pauma Valley,Female,No,No,No,43,Yes,Yes,Fiber optic,No,Yes,No,Yes,Two year,Yes,Electronic check,104.6,4759.85,Yes
Ranchita,Male,No,Yes,No,63,Yes,Yes,Fiber optic,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,103.4,6603.0,Yes
Valley Center,Female,No,No,No,2,Yes,No,Fiber optic,No,No,No,Yes,Month-to-month,Yes,Electronic check,90.4,168.2,Yes
San Diego,Male,No,Yes,No,4,Yes,Yes,Fiber optic,No,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),84.8,371.9,Yes
San Diego,Female,Yes,No,No,21,No,No phone service,DSL,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,41.9,840.1,Yes
San Diego,Female,No,No,No,10,Yes,No,Fiber optic,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),80.25,846.0,Yes
San Diego,Male,Yes,Yes,No,27,No,No phone service,DSL,Yes,No,No,No,Month-to-month,No,Credit card (automatic),30.75,805.1,Yes
San Diego,Male,No,No,No,5,Yes,No,Fiber optic,No,Yes,No,Yes,Month-to-month,No,Bank transfer (automatic),96.5,492.55,Yes
San Diego,Male,No,No,No,2,Yes,Yes,Fiber optic,No,No,No,Yes,Month-to-month,Yes,Electronic check,85.65,181.5,Yes
San Diego,Female,No,Yes,No,25,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),104.95,2566.5,Yes
San Diego,Male,No,No,No,1,Yes,No,DSL,No,No,No,No,Month-to-month,No,Mailed check,50.65,50.65,Yes
Indio,Male,No,No,No,1,Yes,Yes,Fiber optic,No,No,No,No,Month-to-month,Yes,Credit card (automatic),90.85,90.85,Yes
Indian Wells,Male,Yes,Yes,No,11,Yes,No,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,19.95,214.75,Yes
Palm Desert,Female,Yes,Yes,No,55,Yes,Yes,Fiber optic,No,Yes,No,No,Month-to-month,Yes,Electronic check,85.45,4874.7,Yes
Desert Hot Springs,Female,No,No,No,34,Yes,No,Fiber optic,No,No,No,No,Month-to-month,Yes,Credit card (automatic),73.95,2524.45,Yes
Holtville,Male,No,Yes,No,69,Yes,Yes,Fiber optic,No,Yes,No,Yes,Month-to-month,Yes,Credit card (automatic),99.45,7007.6,Yes
Niland,Female,No,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,19.9,19.9,Yes
North Palm Springs,Male,No,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,19.6,19.6,Yes
Ocotillo,Male,Yes,No,No,3,Yes,Yes,Fiber optic,No,No,No,No,Month-to-month,Yes,Electronic check,81.35,233.7,Yes
Seeley,Female,No,Yes,No,22,Yes,No,Fiber optic,No,No,No,No,Month-to-month,No,Electronic check,83.3,1845.9,Yes
Thermal,Female,Yes,No,No,1,Yes,No,Fiber optic,No,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),75.3,75.3,Yes
Adelanto,Female,No,Yes,No,61,Yes,No,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,19.4,1182.55,Yes
Apple Valley,Male,No,No,No,12,Yes,No,DSL,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),45.4,518.9,Yes
Crestline,Female,No,No,No,60,Yes,Yes,Fiber optic,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,105.9,6396.45,Yes
Daggett,Female,No,No,No,1,Yes,No,Fiber optic,No,No,No,No,Month-to-month,No,Mailed check,69.55,69.55,Yes
Ludlow,Female,No,Yes,No,28,Yes,No,Fiber optic,No,No,No,No,Month-to-month,Yes,Electronic check,81.05,2227.1,Yes
Lucerne Valley,Male,No,Yes,No,4,Yes,Yes,Fiber optic,No,Yes,No,Yes,Month-to-month,No,Electronic check,101.15,385.9,Yes
Lytle Creek,Male,No,No,No,7,Yes,Yes,Fiber optic,No,No,No,Yes,Month-to-month,Yes,Electronic check,99.8,673.25,Yes
Phelan,Female,No,Yes,No,13,Yes,No,DSL,No,No,No,No,Month-to-month,No,Electronic check,55.95,734.35,Yes
Redlands,Male,No,No,No,1,Yes,No,DSL,No,No,No,No,Month-to-month,Yes,Electronic check,55.0,55.0,Yes
Rialto,Female,No,Yes,No,1,Yes,No,Fiber optic,No,No,No,No,Month-to-month,Yes,Electronic check,74.7,74.7,Yes
Running Springs,Male,No,No,No,24,Yes,Yes,Fiber optic,No,No,No,No,Month-to-month,Yes,Electronic check,80.25,1861.5,Yes
Tecopa,Male,No,No,No,5,Yes,No,Fiber optic,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,96.1,453.4,Yes
Victorville,Female,No,No,No,15,Yes,No,Fiber optic,No,No,No,No,Month-to-month,No,Bank transfer (automatic),69.0,994.8,Yes
Wrightwood,Female,No,Yes,No,48,No,No phone service,DSL,Yes,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),45.3,2145.0,Yes
San Bernardino,Female,No,Yes,No,8,Yes,No,Fiber optic,No,No,No,Yes,Month-to-month,Yes,Electronic check,83.55,680.05,Yes
San Bernardino,Male,No,No,No,1,Yes,Yes,Fiber optic,No,No,No,No,Month-to-month,Yes,Electronic check,74.35,74.35,Yes
Riverside,Female,No,Yes,No,2,Yes,No,Fiber optic,Yes,No,No,No,Month-to-month,Yes,Electronic check,74.4,139.4,Yes
Riverside,Male,No,No,No,22,No,No phone service,DSL,No,Yes,No,No,One year,Yes,Bank transfer (automatic),43.75,903.6,Yes
Riverside,Female,Yes,No,No,5,No,No phone service,DSL,No,No,No,No,Month-to-month,No,Electronic check,28.45,131.05,Yes
March Air Reserve Base,Female,No,No,No,12,Yes,Yes,Fiber optic,Yes,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),99.7,1238.45,Yes
Hemet,Female,Yes,No,No,20,Yes,Yes,Fiber optic,No,Yes,No,No,Month-to-month,Yes,Electronic check,94.1,1782.4,Yes
Homeland,Male,No,Yes,No,2,Yes,No,Fiber optic,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,94.2,167.5,Yes
Idyllwild,Female,No,Yes,No,6,Yes,Yes,Fiber optic,No,No,Yes,No,Month-to-month,Yes,Electronic check,80.5,502.85,Yes
Moreno Valley,Female,Yes,Yes,No,5,Yes,Yes,Fiber optic,No,No,No,No,Month-to-month,Yes,Electronic check,74.35,334.8,Yes
Murrieta,Male,No,No,No,40,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Month-to-month,No,Bank transfer (automatic),104.8,4131.95,Yes
Perris,Female,Yes,Yes,No,27,Yes,No,Fiber optic,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),75.2,1929.35,Yes
Sun City,Female,No,No,No,23,Yes,Yes,Fiber optic,No,No,No,No,Month-to-month,No,Bank transfer (automatic),75.6,1758.6,Yes
Sun City,Male,No,Yes,No,34,Yes,Yes,Fiber optic,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,100.05,3480.0,Yes
Irvine,Female,No,No,No,1,Yes,Yes,Fiber optic,No,No,No,No,Month-to-month,Yes,Electronic check,85.0,85.0,Yes
Lake Forest,Male,No,No,No,10,Yes,Yes,Fiber optic,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),86.05,834.1,Yes
Huntington Beach,Male,No,No,No,13,No,No phone service,DSL,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),45.55,597.0,Yes
Huntington Beach,Male,No,Yes,No,39,Yes,No,Fiber optic,No,No,No,Yes,Month-to-month,Yes,Mailed check,86.3,3266.0,Yes
Newport Beach,Male,No,No,No,32,Yes,Yes,Fiber optic,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),80.35,2596.15,Yes
Santa Ana,Female,No,No,No,35,Yes,Yes,Fiber optic,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,100.25,3527.6,Yes
Santa Ana,Male,No,Yes,No,56,Yes,Yes,Fiber optic,No,No,No,Yes,One year,No,Credit card (automatic),100.3,5614.45,Yes
Anaheim,Female,No,Yes,No,12,Yes,No,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,19.0,233.55,Yes
Anaheim,Female,No,No,No,1,Yes,No,Fiber optic,Yes,No,No,No,Month-to-month,No,Mailed check,75.3,75.3,Yes
Anaheim,Female,Yes,No,No,4,Yes,Yes,Fiber optic,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,89.2,346.2,Yes
Brea,Female,Yes,No,No,1,Yes,Yes,Fiber optic,No,No,No,Yes,Month-to-month,Yes,Electronic check,85.7,85.7,Yes
Norco,Female,No,No,No,12,Yes,Yes,DSL,Yes,Yes,Yes,No,Month-to-month,Yes,Mailed check,61.65,713.75,Yes
Yorba Linda,Female,Yes,Yes,No,65,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Month-to-month,No,Bank transfer (automatic),105.25,6786.4,Yes
Ventura,Male,No,Yes,No,9,No,No phone service,DSL,No,No,No,No,Month-to-month,Yes,Electronic check,29.95,248.95,Yes
Ventura,Female,No,Yes,No,9,Yes,No,DSL,Yes,Yes,Yes,No,Month-to-month,No,Mailed check,65.0,663.05,Yes
Port Hueneme,Female,No,No,No,7,Yes,No,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),20.0,137.6,Yes
Summerland,Male,Yes,Yes,No,49,Yes,Yes,Fiber optic,No,No,No,No,Month-to-month,No,Credit card (automatic),90.05,4547.25,Yes
Santa Barbara,Male,Yes,Yes,No,43,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),110.75,4687.9,Yes
Santa Barbara,Female,No,Yes,No,65,Yes,Yes,Fiber optic,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,105.5,6985.65,Yes
Alpaugh,Male,Yes,Yes,No,56,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,One year,Yes,Bank transfer (automatic),104.55,5794.65,Yes
Armona,Male,No,Yes,No,10,Yes,Yes,Fiber optic,No,No,No,No,Month-to-month,Yes,Electronic check,85.25,855.3,Yes
Avenal,Female,No,Yes,No,43,Yes,No,DSL,No,No,No,Yes,Month-to-month,No,Electronic check,56.15,2499.3,Yes
Bodfish,Male,No,No,No,1,Yes,No,Fiber optic,No,No,No,Yes,Month-to-month,Yes,Electronic check,89.55,89.55,Yes
Camp Nelson,Male,Yes,Yes,No,20,Yes,Yes,Fiber optic,No,No,No,Yes,Month-to-month,Yes,Electronic check,94.55,1899.65,Yes
Coalinga,Male,No,No,No,1,Yes,No,DSL,No,No,No,No,Month-to-month,Yes,Mailed check,45.7,45.7,Yes
Delano,Female,Yes,No,No,2,Yes,Yes,Fiber optic,No,No,No,No,Month-to-month,No,Electronic check,89.5,161.5,Yes
Earlimart,Female,No,No,No,3,Yes,No,Fiber optic,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),69.55,222.3,Yes
Exeter,Female,No,No,No,1,Yes,No,Fiber optic,No,Yes,No,No,Month-to-month,Yes,Mailed check,74.6,74.6,Yes
Fellows,Female,Yes,No,No,8,Yes,No,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,19.65,164.3,Yes
Huron,Male,No,Yes,No,2,Yes,No,No,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,19.85,35.9,Yes
Kernville,Female,No,No,No,4,No,No phone service,DSL,No,No,No,No,Month-to-month,Yes,Mailed check,24.25,96.05,Yes
Lemon Cove,Female,No,No,No,2,Yes,No,Fiber optic,No,No,No,No,Month-to-month,No,Electronic check,69.65,145.15,Yes
Lindsay,Female,No,No,No,4,Yes,No,DSL,No,No,No,No,Month-to-month,No,Mailed check,45.65,191.05,Yes
Maricopa,Female,No,No,No,1,Yes,Yes,Fiber optic,No,No,No,No,Month-to-month,Yes,Mailed check,75.05,75.05,Yes
Onyx,Male,Yes,No,No,52,No,No phone service,DSL,No,No,No,Yes,Month-to-month,Yes,Electronic check,49.15,2550.9,Yes
Posey,Female,No,No,No,2,No,No phone service,DSL,No,No,No,No,Month-to-month,Yes,Electronic check,34.7,62.25,Yes
Shafter,Male,No,Yes,No,1,Yes,No,Fiber optic,No,No,No,No,Month-to-month,No,Electronic check,80.0,80.0,Yes
Tipton,Male,Yes,No,No,2,Yes,No,DSL,Yes,No,No,No,Month-to-month,Yes,Electronic check,49.25,91.1,Yes
Wofford Heights,Female,No,No,No,3,Yes,Yes,Fiber optic,No,No,No,No,Month-to-month,Yes,Credit card (automatic),75.1,270.7,Yes
Visalia,Male,No,Yes,No,3,Yes,No,DSL,No,Yes,No,No,Month-to-month,Yes,Electronic check,50.15,168.15,Yes
Bakersfield,Female,No,No,No,25,Yes,No,Fiber optic,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),79.85,2015.35,Yes
San Luis Obispo,Male,No,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,19.55,19.55,Yes
Lompoc,Female,No,Yes,No,4,Yes,Yes,Fiber optic,No,No,No,No,Month-to-month,Yes,Electronic check,85.95,381.3,Yes
Lompoc,Male,No,No,No,3,Yes,No,DSL,No,No,No,No,Month-to-month,Yes,Electronic check,45.35,141.5,Yes
Los Alamos,Male,Yes,Yes,No,33,Yes,Yes,Fiber optic,No,No,No,Yes,Month-to-month,Yes,Electronic check,94.5,3105.55,Yes
Oceano,Female,Yes,No,No,30,Yes,Yes,Fiber optic,Yes,Yes,No,No,Month-to-month,No,Credit card (automatic),91.7,2758.15,Yes
Pismo Beach,Female,No,No,No,45,Yes,Yes,Fiber optic,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,87.25,3941.7,Yes
Mojave,Male,No,No,No,10,Yes,Yes,Fiber optic,Yes,No,No,Yes,Month-to-month,No,Electronic check,98.55,1008.55,Yes
Johannesburg,Male,Yes,No,No,20,Yes,Yes,Fiber optic,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,98.55,1842.8,Yes
Keene,Female,No,No,No,15,Yes,No,Fiber optic,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),85.9,1269.55,Yes
Lancaster,Female,No,No,No,22,Yes,No,Fiber optic,No,No,No,Yes,Month-to-month,No,Electronic check,89.25,1907.85,Yes
Lancaster,Male,No,Yes,No,3,Yes,No,Fiber optic,No,No,No,No,Month-to-month,Yes,Electronic check,70.3,208.85,Yes
Palmdale,Male,No,No,No,15,Yes,Yes,Fiber optic,No,No,No,Yes,Month-to-month,Yes,Electronic check,93.35,1444.65,Yes
Pearblossom,Female,No,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,19.9,19.9,Yes
Randsburg,Female,No,Yes,No,5,Yes,No,Fiber optic,Yes,Yes,No,No,Month-to-month,Yes,Mailed check,88.9,454.15,Yes
